date,open,high,low,close,volume
2021-01-04,37021,37362,36535,37216,1485830
2021-01-05,37556,39745,37459,39016,4121560
2021-01-06,39745,40086,38189,38773,2505501
2021-01-07,39551,39843,39064,39454,1757353
2021-01-08,40281,40329,39502,39892,2233400
2021-01-11,40767,44562,40572,42908,6779135
2021-01-12,43394,45243,42227,44368,4808708
2021-01-13,44464,44513,42664,43249,2317129
2021-01-14,42859,43735,42616,43541,1515163
2021-01-15,43783,44027,41643,41643,1926078
2021-01-18,40767,43102,40281,41886,2193652
2021-01-19,43102,43929,42421,43930,2218814
2021-01-20,44562,44562,42810,43930,1656708
2021-01-21,43832,44270,43443,43589,1283426
2021-01-22,43978,44513,42762,43200,1838690
2021-01-25,43589,44270,43589,43784,1322965
2021-01-26,44367,44367,42762,42811,1135134
2021-01-27,43200,43637,41935,42081,940379
2021-01-28,40864,42178,40670,41059,1207126
2021-01-29,41400,41497,38821,39162,1769241
2021-02-01,39162,42518,38724,42324,1552374
2021-02-02,42470,43102,41594,42081,996536
2021-02-03,42908,43881,42421,43638,1677960
2021-02-04,44318,44562,41789,41984,2260307
2021-02-05,42324,42372,40864,41303,1050875
2021-02-08,41059,42421,41010,41497,867222
2021-02-09,41789,42227,41254,41741,701102
2021-02-10,41545,41740,40962,41595,550351
2021-02-15,42032,42178,41643,41886,570149
2021-02-16,41886,42227,41400,41838,578107
2021-02-17,41740,41789,40913,41157,611098
2021-02-18,41010,41108,40135,40135,618768
2021-02-19,39989,40962,39405,40865,664199
2021-02-22,40962,41059,40281,40281,600798
2021-02-23,40086,41010,39794,40719,642145
2021-02-24,40718,40864,39308,39357,718021
2021-02-25,39989,40427,39648,40427,462520
2021-02-26,39454,39989,38432,38724,1046722
2021-03-02,39502,39502,38383,38919,670386
2021-03-03,38724,39210,38529,39162,422284
2021-03-04,38627,38870,38043,38822,675212
2021-03-05,38189,38335,37556,37995,521240
2021-03-08,38383,39113,37945,38286,594303
2021-03-09,38627,39259,38189,39114,842820
2021-03-10,39502,39502,38043,38286,542700
2021-03-11,38432,39064,38335,38724,579385
2021-03-12,39210,40670,39113,40670,971642
2021-03-15,40913,42032,40427,41595,1359826
2021-03-16,41837,41983,41205,41643,677783
2021-03-17,41935,41983,40718,41546,607010
2021-03-18,41691,42227,41351,41351,516712
2021-03-19,40767,41205,40378,41059,552711
2021-03-22,41351,41837,40962,41789,644423
2021-03-23,42081,43200,41545,42130,1785045
2021-03-24,41983,42032,41108,41838,630638
2021-03-25,41643,42518,41497,42470,776814
2021-03-26,42810,43200,42616,42859,840551
2021-03-29,43394,43783,42859,42908,1228584
2021-03-30,43589,43978,42324,42616,1307350
2021-03-31,42713,43248,42178,42859,742982
2021-04-01,43005,43200,42324,42373,841020
2021-04-02,42421,42616,41740,42373,631474
2021-04-05,42470,43735,42324,43686,1364619
2021-04-06,43881,44416,43151,43589,1378672
2021-04-07,43978,44027,43443,43784,821495
2021-04-08,44318,45778,43637,45146,3182819
2021-04-09,45437,45729,44464,45195,1378196
2021-04-12,44951,45048,44124,44514,762656
2021-04-13,44610,45437,43735,44173,2034282
2021-04-14,44756,45145,44027,44903,1132309
2021-04-15,45389,45681,44902,45146,1001262
2021-04-16,45535,46313,45097,45876,1450236
2021-04-19,46410,47189,45875,46557,1256214
2021-04-20,47091,48259,46945,48114,1968191
2021-04-21,47724,48600,47383,48162,1473926
2021-04-22,48600,48648,47675,47676,992558
2021-04-23,47140,48454,46313,48454,1337708
2021-04-26,48648,50302,47918,50011,1524532
2021-04-27,50205,50886,49427,50595,1120492
2021-04-28,50497,52248,50108,51276,1724471
2021-04-29,51372,53416,51275,52832,1893060
2021-04-30,52151,52248,48843,49038,2635695
2021-05-03,48551,50010,48113,48843,1444328
2021-05-04,48940,49524,47821,49135,1195606
2021-05-06,49135,50886,48745,50886,1031264
2021-05-07,51470,52443,51178,52151,1099703
2021-05-10,52832,53124,51664,52249,959968
2021-05-11,52443,53416,52151,52638,1079947
2021-05-12,52637,52832,50108,50692,1238808
2021-05-13,49135,51567,48843,50108,1132213
2021-05-14,51178,51567,50302,50497,594723
2021-05-17,50983,51956,50302,51178,709587
2021-05-18,51859,52540,51567,52346,834766
2021-05-20,51956,52832,51567,51762,665328
2021-05-21,52248,52637,50691,51178,794469
2021-05-24,51178,52248,50108,51762,606854
2021-05-25,52443,52443,50302,50692,969745
2021-05-26,50789,51859,50399,51470,735419
2021-05-27,52054,55167,52054,54778,3895914
2021-05-28,54291,54778,53708,54584,1120279
2021-05-31,54583,55848,53416,55849,1317357
2021-06-01,56043,56237,55070,55459,893592
2021-06-02,55459,56918,54681,55849,1272051
2021-06-03,55945,56043,54000,54778,1485676
2021-06-04,54194,55362,54097,54584,930949
2021-06-07,54875,55264,54097,54778,879152
2021-06-08,54972,57405,54681,56238,2057497
2021-06-09,56335,56432,55167,55362,786949
2021-06-10,55167,55167,53708,54292,1415138
2021-06-11,54291,54486,53513,54097,940441
2021-06-14,54291,54681,53610,54195,647542
2021-06-15,54194,54194,52637,52832,1443659
2021-06-16,52735,53513,52735,52930,882380
2021-06-17,52637,53221,52248,53222,565799
2021-06-18,54097,54486,53027,53319,916423
2021-06-21,53416,53999,52637,53416,755033
2021-06-22,53708,53902,53318,53805,537825
2021-06-23,54097,54291,52540,52638,743582
2021-06-24,52735,53027,51664,52735,887548
2021-06-25,53416,55264,53318,54195,1696057
2021-06-28,54972,56724,54486,56627,2065823
2021-06-29,57016,57113,55945,56432,949373
2021-06-30,56627,57989,55654,56724,1260137
2021-07-01,57308,57600,56140,56238,823532
2021-07-02,56335,58864,56237,58378,1859574
2021-07-05,58572,58962,57697,58573,858872
2021-07-06,58864,60227,58086,58281,1153185
2021-07-07,57891,58281,57405,57600,851541
2021-07-08,57210,57891,55945,56141,1274428
2021-07-09,55167,56043,54583,55557,1183221
2021-07-12,56140,56432,55459,56141,732147
2021-07-13,56724,57600,56432,56919,622028
2021-07-14,56529,56821,55945,56141,518159
2021-07-15,56335,56627,55848,56043,496517
2021-07-16,55751,57113,55459,56822,602602
2021-07-19,56237,56627,55751,56043,520371
2021-07-20,55362,56335,55264,55946,588530
2021-07-21,56237,56627,55264,55265,583137
2021-07-22,55654,56140,55264,55751,340217
2021-07-23,55945,55945,52735,53805,2088211
2021-07-26,53513,54194,52345,52541,1388274
2021-07-27,52832,54389,52248,53222,1169420
2021-07-28,53221,54194,53124,53903,760380
2021-07-29,54194,54194,53124,53416,508855
2021-07-30,53318,53805,53027,53222,450797
2021-08-02,53513,53708,52637,52930,367677
2021-08-03,52832,53513,52540,53222,416063
2021-08-04,53027,53124,52345,53027,525868
2021-08-05,53124,53513,52540,52541,568334
2021-08-06,52832,53318,52345,53027,464772
2021-08-09,53416,53416,52054,52249,646591
2021-08-10,52151,52248,50789,51276,870657
2021-08-11,51372,51567,50789,51178,367969
2021-08-12,51178,51859,51081,51178,559561
2021-08-13,51372,51859,49718,50497,589375
2021-08-17,50691,50789,48745,49038,770721
2021-08-18,48600,50205,48551,50011,450659
2021-08-19,49329,49427,47529,47724,926749
2021-08-20,47772,48259,46848,47092,768982
2021-08-23,47772,48502,46945,47773,610786
2021-08-24,48648,49718,48502,49330,602977
2021-08-25,49816,50400,49427,50205,492385
2021-08-26,50205,51178,49816,50789,661660
2021-08-27,50205,50789,49913,50400,438106
2021-08-30,50983,52929,50886,51859,971517
2021-08-31,52248,54000,51956,54000,1265944
2021-09-01,54200,54700,53700,54000,535118
2021-09-02,54000,54500,53200,54000,457326
2021-09-03,54500,55500,54000,55000,498440
2021-09-06,55100,55200,54200,54500,313019
2021-09-07,54700,54900,53800,54000,291597
2021-09-08,53600,54400,53300,53500,334311
2021-09-09,53300,54000,52600,52600,674671
2021-09-10,52600,53700,52000,53500,387175
2021-09-13,53100,53700,51800,52600,462077
2021-09-14,52900,54300,52900,53900,488636
2021-09-15,53800,55500,53200,54600,750380
2021-09-16,55500,56600,55100,55700,820530
2021-09-17,56000,56200,55100,56200,617227
2021-09-23,55000,55200,54100,54600,463177
2021-09-24,54900,55300,52600,53200,765444
2021-09-27,53000,54200,52800,53300,391092
2021-09-28,52900,53100,51500,52100,554151
2021-09-29,50200,51800,50200,51500,528795
2021-09-30,51800,52700,51100,51400,557859
2021-10-01,51200,51300,50000,50300,436750
2021-10-05,49900,51800,49550,51100,563763
2021-10-06,51100,51700,49100,49100,633939
2021-10-07,49300,50800,49300,50600,382577
2021-10-08,50800,50800,49700,49950,293538
2021-10-12,49800,50500,49100,49600,350110
2021-10-13,49500,50500,49400,50200,315246
2021-10-14,50500,51400,50500,51200,379547
2021-10-15,51700,52000,51300,51700,287427
2021-10-18,51800,51900,50800,51100,281158
2021-10-19,51400,51600,50400,50900,315654
2021-10-20,50900,51200,50000,50100,352599
2021-10-21,50100,51000,49850,50900,300083
2021-10-22,50700,51000,50100,50600,258980
2021-10-25,50700,51600,50300,51600,337436
2021-10-26,51700,51900,51100,51500,312876
2021-10-27,51500,52000,50300,50800,402668
2021-10-28,50600,51200,50200,50200,357365
2021-10-29,50700,51500,50100,50300,442720
2021-11-01,50600,51600,50400,51300,422173
2021-11-02,51500,52200,51300,51800,385086
2021-11-03,52000,52400,51300,51400,317834
2021-11-04,51900,52100,51100,51600,262212
2021-11-05,50800,51400,50100,50600,488915
2021-11-08,50900,51000,50000,51000,302972
2021-11-09,50900,51400,50500,50900,239848
2021-11-10,50700,50900,49850,50000,338082
2021-11-11,49500,49750,48850,49000,490842
2021-11-12,49050,50200,49050,50200,272798
2021-11-15,50500,50900,50000,50800,338254
2021-11-16,50500,50500,49950,50200,291399
2021-11-17,50200,50400,49000,49150,450497
2021-11-18,49150,49150,48350,48350,406548
2021-11-19,48350,48550,47850,48100,413278
2021-11-22,48350,48350,47400,48050,510324
2021-11-23,48050,48600,47750,47900,320591
2021-11-24,48300,49400,47850,48100,584929
2021-11-25,48300,48950,47800,47800,421996
2021-11-26,47850,47900,46450,46450,506013
2021-11-29,44950,46000,44850,45600,522758
2021-11-30,46050,46250,43850,44200,709482
2021-12-01,44400,45450,43900,45200,474824
2021-12-02,44550,47300,44450,47150,481897
2021-12-03,47200,48600,46800,48300,490523
2021-12-06,48050,49050,47950,48500,405213
2021-12-07,49100,50800,48900,50800,837013
2021-12-08,50900,51200,49900,50000,518418
2021-12-09,50100,50400,49250,49750,600135
2021-12-10,49600,50200,49300,49950,273535
2021-12-13,49850,50300,49200,49450,323670
2021-12-14,49200,49450,48400,48950,420369
2021-12-15,48500,48800,47050,47450,909079
2021-12-16,47800,48050,46850,47800,702580
2021-12-17,47300,48050,47300,47800,623571
2021-12-20,47700,47750,46000,46300,705390
2021-12-21,46350,46550,45400,46200,748180
2021-12-22,46350,46450,45100,45400,939074
2021-12-23,45600,45700,45150,45500,587731
2021-12-24,45650,45750,45200,45350,617527
2021-12-27,45400,45600,44800,44900,738838
2021-12-28,45050,45300,44700,44950,775291
2021-12-29,44950,45500,44450,44900,629776
2021-12-30,44900,44950,44050,44450,768367
2022-01-03,45200,46700,45050,46150,1339716
2022-01-04,46350,46650,45650,46550,690244
2022-01-05,46700,47300,46300,46700,993275
2022-01-06,46300,47500,45950,46900,987330
2022-01-07,47250,47300,46300,46850,766671
2022-01-10,46750,46950,45700,45900,791120
2022-01-11,45900,46100,44550,44800,918542
2022-01-12,44700,45300,44450,45300,731119
2022-01-13,45200,46400,45050,45850,756712
2022-01-14,45350,45650,44600,44850,743670
2022-01-17,44750,44800,43600,43850,677893
2022-01-18,44000,44100,41600,42700,1199031
2022-01-19,41700,43500,41700,42700,804730
2022-01-20,42600,43450,42600,43000,485377
2022-01-21,42800,43250,42550,42900,608072
2022-01-24,42400,42950,41800,41950,420747
2022-01-25,41900,41900,40000,40350,766087
2022-01-26,40350,41150,40250,40250,528092
2022-01-27,40300,40500,38500,38500,890999
2022-01-28,38500,42650,38500,42200,1694860
2022-02-03,42450,42900,41450,41450,730393
2022-02-04,41200,42750,40850,42700,813342
2022-02-07,42350,42650,41650,41700,480952
2022-02-08,42150,42500,41250,41800,377196
2022-02-09,42100,43800,42000,43700,723316
2022-02-10,43650,44000,43000,43300,491207
2022-02-11,42700,43200,42250,42300,345697
2022-02-14,41900,42200,40700,40900,526816
2022-02-15,41150,41600,40650,41050,368708
2022-02-16,41750,42400,41550,41800,403684
2022-02-17,41800,42950,41600,42050,676260
2022-02-18,41350,42550,41300,42050,455706
2022-02-21,41450,43550,41100,42650,557148
2022-02-22,42050,42500,41600,41950,440074
2022-02-23,42200,43450,42200,43050,533943
2022-02-24,42500,42900,42050,42300,426726
2022-02-25,42850,42900,42350,42600,377265
2022-02-28,42600,43600,42300,43300,613383
2022-03-02,43350,43750,43100,43700,530895
2022-03-03,43850,45450,43750,45450,1121308
2022-03-04,45000,45950,44800,45400,832471
2022-03-07,45150,45900,44700,45550,767648
2022-03-08,45150,45400,43800,44200,760248
2022-03-10,45950,48150,45900,48150,2550500
2022-03-11,48600,49400,48150,49400,1805508
2022-03-14,49850,51100,49400,49450,1334441
2022-03-15,49000,49250,48000,48400,880208
2022-03-16,48900,49200,48150,49200,698738
2022-03-17,49900,50200,48150,48300,1022352
2022-03-18,48350,48750,47350,48450,967421
2022-03-21,49050,49100,47400,47500,704445
2022-03-22,47300,48500,47300,48250,569211
2022-03-23,47550,48600,47500,48550,569859
2022-03-24,47850,48300,47700,48100,632800
2022-03-25,48300,49000,47600,47800,625430
2022-03-28,47900,48300,47400,48050,456145
2022-03-29,48050,48150,47000,47250,611195
2022-03-30,47400,47600,46850,47200,457695
2022-03-31,47500,48450,47300,47900,671567
2022-04-01,47750,47800,47100,47450,475726
2022-04-04,47200,47250,46000,46050,716491
2022-04-05,46250,46400,45750,46350,374736
2022-04-06,46000,46250,45600,45700,460580
2022-04-07,45450,45600,44500,44500,561082
2022-04-08,44600,45150,43850,44950,504942
2022-04-11,44600,45500,44450,45050,335069
2022-04-12,44600,45250,44400,44650,354205
2022-04-13,44900,45150,44400,45050,340097
2022-04-14,45150,45150,44350,44350,490110
2022-04-15,44100,44450,43800,44150,370814
2022-04-18,44300,44750,43550,43750,422709
2022-04-19,43900,44800,43850,44500,324430
2022-04-20,44500,44550,43550,43700,510342
2022-04-21,43600,44400,43600,44200,364881
2022-04-22,44000,44200,43300,44150,482396
2022-04-25,43600,43600,42500,42550,552730
2022-04-26,42700,43350,42500,42950,378934
2022-04-27,41900,43100,41900,42850,344267
2022-04-28,43200,44900,42850,44900,760447
2022-04-29,44650,44950,44150,44550,431362
2022-05-02,44550,45350,44450,44750,457010
2022-05-03,44850,45100,44500,44650,306733
2022-05-04,44250,45050,44250,44700,248083
2022-05-06,44250,44600,43900,44350,335976
2022-05-09,43850,44350,43200,43400,427270
2022-05-10,42700,42900,41550,42500,584820
2022-05-11,42050,42400,41600,42100,403760
2022-05-12,41500,42300,40900,40900,662013
2022-05-13,41550,42450,41400,42450,392892
2022-05-16,42600,42700,41850,42050,346513
2022-05-17,42100,42550,42000,42250,272299
2022-05-18,42400,42400,41300,41600,509749
2022-05-19,40700,40800,40150,40200,583155
2022-05-20,40650,41500,40450,41100,365411
2022-05-23,41500,41500,40650,41100,369795
2022-05-24,41150,42800,41000,41900,784353
2022-05-25,42500,42850,41900,42200,478587
2022-05-26,42150,42700,41800,42150,368124
2022-05-27,42400,42550,41850,42100,310070
2022-05-30,42450,42650,42300,42450,271725
2022-05-31,42550,43500,42300,43300,753903
2022-06-02,43300,43350,41800,41950,592788
2022-06-03,42250,42400,41800,42100,367199
2022-06-07,42200,42400,41750,42150,423140
2022-06-08,42100,43150,41800,42750,465628
2022-06-09,42500,42550,41600,41950,479510
2022-06-10,41500,42950,41150,42500,496641
2022-06-13,41700,41800,40350,40500,612764
2022-06-14,39350,41300,39150,41150,686465
2022-06-15,41100,42450,40700,41400,771651
2022-06-16,42350,42350,40250,40350,494844
2022-06-17,39400,40600,39200,40150,440570
2022-06-20,40300,40350,38600,38950,430718
2022-06-21,39350,39700,38500,39350,380311
2022-06-22,39500,39650,37550,37550,476751
2022-06-23,37500,38050,35450,35600,952377
2022-06-24,35600,37650,35400,37300,614656
2022-06-27,37550,38450,37200,38100,389855
2022-06-28,37950,39550,37950,39450,542620
2022-06-29,39000,40350,38750,39700,571940
2022-06-30,39800,42200,39500,41350,1269334
2022-07-01,42000,42600,41350,41700,793854
2022-07-04,42250,42250,39800,40300,672096
2022-07-05,40950,41350,39950,40500,566996
2022-07-06,40150,40550,38250,38250,908428
2022-07-07,38700,39650,38400,39200,546032
2022-07-08,39550,40800,39400,39550,492015
2022-07-11,39400,39550,38300,38600,444745
2022-07-12,38450,38850,37600,38200,470510
2022-07-13,38150,38550,37800,38100,309458
2022-07-14,37850,38100,37300,37600,374798
2022-07-15,37650,37850,36100,37000,585150
2022-07-18,37450,39000,37400,38750,448518
2022-07-19,38450,39250,38100,38950,374076
2022-07-20,39500,39600,38750,38850,340501
2022-07-21,38950,39250,38150,39200,311817
2022-07-22,39250,40250,39150,39750,462023
2022-07-25,39500,40550,39500,40400,336619
2022-07-26,40550,42600,40500,41750,935813
2022-07-27,41700,42050,41250,41900,358437
2022-07-28,42250,42300,41150,41550,343189
2022-07-29,41750,42850,41600,42150,593010
2022-08-01,42050,42550,41850,42250,347377
2022-08-02,42050,42650,41800,42300,404592
2022-08-03,41950,42600,41900,42050,229533
2022-08-04,42350,42450,41350,41750,307802
2022-08-05,42000,42700,41800,42150,272478
2022-08-08,42200,42650,41800,42650,297344
2022-08-09,42650,43150,42100,43100,339715
2022-08-10,43850,47300,43850,46350,3262241
2022-08-11,47000,47600,46250,46400,1709512
2022-08-12,46700,48600,46650,48050,1818851
2022-08-16,48300,48400,46750,46800,1099415
2022-08-17,46800,47550,46350,46650,721689
2022-08-18,46050,47100,45500,46400,613666
2022-08-19,46800,46900,46050,46050,410364
2022-08-22,45450,46750,45150,46050,589731
2022-08-23,45900,46700,45300,45600,608369
2022-08-24,45900,46950,45650,46650,714255
2022-08-25,47700,47750,46500,47000,756998
2022-08-26,47400,49250,46900,48900,1687807
2022-08-29,47500,48400,47400,47800,926079
2022-08-30,48100,48950,47250,47650,909161
2022-08-31,47350,48200,46700,48200,1070524
2022-09-01,47650,47750,45400,45650,1422118
2022-09-02,45600,45900,44550,45050,984901
2022-09-05,44900,45650,44650,44950,526907
2022-09-06,45200,45200,44450,44650,467079
2022-09-07,44650,44700,43250,44000,649062
2022-09-08,44350,44350,43300,43500,618895
2022-09-13,44400,44650,43650,44400,527231
2022-09-14,43000,43600,42750,43050,722387
2022-09-15,43350,45100,43100,44550,841057
2022-09-16,44250,44800,43700,44100,559172
2022-09-19,44100,44550,43150,43300,501145
2022-09-20,43900,44500,43500,44350,415671
2022-09-21,44000,44750,43550,43650,408783
2022-09-22,43150,43200,41950,42850,666925
2022-09-23,42600,42600,41550,41750,553776
2022-09-26,40850,41200,39000,39050,884901
2022-09-27,39350,39650,38700,39600,579004
2022-09-28,39200,39650,37800,38150,547012
2022-09-29,38650,39050,37850,37850,435008
2022-09-30,37800,38400,37300,37500,582687
2022-10-04,38050,39150,37700,38700,409165
2022-10-05,39700,39850,38950,38950,640461
2022-10-06,39000,39450,38650,38650,312449
2022-10-07,38400,39350,38150,39200,449389
2022-10-11,38400,38450,36750,36750,616612
2022-10-12,36200,37500,36200,37350,491256
2022-10-13,37350,37350,35800,35800,673087
2022-10-14,36900,38100,36500,37850,514491
2022-10-17,36450,36450,34100,35150,2054700
2022-10-18,35750,37300,35600,37300,1062774
2022-10-19,37250,37600,35600,35700,917720
2022-10-20,36000,36750,35650,36450,747413
2022-10-21,36050,36250,34100,34150,1467685
2022-10-24,34900,36100,34600,34950,1210737
2022-10-25,34900,34900,33450,34000,1108562
2022-10-26,34150,34450,33500,34000,828045
2022-10-27,33550,36000,33000,35450,1536268
2022-10-28,35050,35750,34950,35100,642450
2022-10-31,35500,35650,34550,34900,591955
2022-11-01,35500,37450,35250,37250,1375039
2022-11-02,38550,38700,36850,37050,1414045
2022-11-03,36100,38600,36100,38450,1276001
2022-11-04,38500,38750,37800,38200,669678
2022-11-07,38500,39600,38500,39500,815640
2022-11-08,39850,40300,38450,39800,684618
2022-11-09,40100,40900,39600,40750,787745
2022-11-10,40250,41650,40200,40500,829157
2022-11-11,41950,43400,41300,43050,1467602
2022-11-14,43500,44450,42800,43550,1039987
2022-11-15,43450,44000,42200,42650,994773
2022-11-16,42700,43000,41300,42650,1239080
2022-11-17,42950,43200,40800,40900,1501474
2022-11-18,41500,41800,40650,41050,927885
2022-11-21,41050,41050,39450,39950,900249
2022-11-22,39400,40600,39400,40300,499477
2022-11-23,40600,40700,39800,40150,462296
2022-11-24,40450,40600,39900,40100,350666
2022-11-25,40150,40400,39800,40100,365915
2022-11-28,40000,40000,39100,39400,419923
2022-11-29,39350,40700,39350,40600,520460
2022-11-30,40450,41000,40150,41000,526327
2022-12-01,41250,42100,41000,41100,632694
2022-12-02,41100,41150,39500,39650,551655
2022-12-05,39700,39900,39250,39600,415659
2022-12-06,39150,39800,38600,38950,568770
2022-12-07,38950,39200,38450,38950,355764
2022-12-08,39050,39200,38050,38550,498840
2022-12-09,38300,38750,38100,38600,350215
2022-12-12,38150,38300,36400,36800,1073946
2022-12-13,37100,37200,36300,36550,453608
2022-12-14,36650,37050,36600,37000,563846
2022-12-15,36800,36850,36150,36200,461309
2022-12-16,35400,35850,35300,35700,598492
2022-12-19,35500,35650,35050,35400,370512
2022-12-20,35250,35750,34950,35150,358152
2022-12-21,35300,35550,34850,35250,458816
2022-12-22,35500,35750,35250,35500,536998
2022-12-23,34900,35100,34600,34900,340341
2022-12-26,34850,35200,34600,34950,417115
2022-12-27,35000,36350,34950,36200,698354
2022-12-28,35600,35800,35350,35600,380821
2022-12-29,35050,35950,34900,34900,351395
2023-01-02,35150,35150,33200,33600,550193
2023-01-03,33650,34450,32550,34250,628582
2023-01-04,33800,36100,33700,35900,908411
2023-01-05,35650,36000,34950,35700,519617
2023-01-06,35000,38300,35000,37600,1451564
2023-01-09,37800,38000,37100,37600,659974
2023-01-10,37600,38800,37600,38350,802518
2023-01-11,38550,38550,37150,37350,902345
2023-01-12,37700,38050,36850,37400,714450
2023-01-13,37300,38050,37250,37500,708475
2023-01-16,37950,37950,36800,37000,601156
2023-01-17,37000,37700,36550,36700,626473
2023-01-18,36700,36950,35700,36350,662144
2023-01-19,35950,36500,35800,36000,593116
2023-01-20,36100,38650,36050,38600,1459960
2023-01-25,38950,39000,37300,37650,723792
2023-01-26,37700,38200,37500,38050,450310
2023-01-27,38250,39650,38200,38950,1004533
2023-01-30,39000,39100,38250,38450,546570
2023-01-31,38250,38700,37900,38050,686983
2023-02-01,38200,38400,37800,37950,538596
2023-02-02,38400,38800,37400,37600,653467
2023-02-03,37750,38350,37450,37750,474451
2023-02-06,37750,37900,36700,36900,592740
2023-02-07,36800,37050,36000,36250,734506
2023-02-08,36450,37100,36400,36900,392465
2023-02-09,36500,37100,36500,36750,516736
2023-02-10,36850,37600,36300,37550,611795
2023-02-13,37600,37650,36400,37050,549807
2023-02-14,37200,37850,37100,37150,375098
2023-02-15,37100,37400,36100,36200,515780
2023-02-16,36500,36900,36400,36700,346624
2023-02-17,36200,37950,36150,37400,717924
2023-02-20,37650,37850,37150,37600,410845
2023-02-21,37650,39500,37500,39100,1394542
2023-02-22,38450,39100,38300,38450,510330
2023-02-23,38750,39450,38100,39000,599058
2023-02-24,38800,39050,37950,38000,426248
2023-02-27,37550,37750,37150,37350,324784
2023-02-28,37300,37650,36300,36400,643860
2023-03-02,36250,37200,36250,36750,508764
2023-03-03,37100,37150,36350,36800,351956
2023-03-06,37050,37150,36300,36550,372636
2023-03-07,36500,37050,36300,36550,376040
2023-03-08,36150,36300,35400,35750,545699
2023-03-09,36000,37050,35900,36350,641250
2023-03-10,36050,37000,35800,36350,485675
2023-03-13,36300,36500,35300,36200,401066
2023-03-14,36000,36300,35050,35500,573108
2023-03-15,36000,37650,35900,37100,941412
2023-03-16,36750,37450,36450,36750,714239
2023-03-17,37300,37350,36200,36200,638840
2023-03-20,36450,37900,36400,37050,595171
